DATE,REVOLNS
2023-01-01,1186726.63
2023-02-01,1170751.92
2023-03-01,1178905.77
2023-04-01,1192829.17
2023-05-01,1213141.64
2023-06-01,1224220.94
2023-07-01,1234600.53
2023-08-01,1255315.74
2023-09-01,1253847.15
2023-10-01,1260507.94
2023-11-01,1300570.05
2023-12-01,1318813.11
2024-01-01,1294748.63
2024-02-01,1284806.47
2024-03-01,1278595.76
2024-04-01,1283183.74
2024-05-01,1302835.7
2024-06-01,1305781.47
2024-07-01,1315794.63
2024-08-01,1323005.76
2024-09-01,1317231.92
2024-10-01,1329903.21
2024-11-01,1339143.66
2024-12-01,1316915.66
2025-01-01,1289170.32
2025-02-01,1269375.07
